area,city,floor,location,price,rooms,source,square_price,title,opstina,latitude,longitude
75,Novi Sad,6," Opština Novi Sad, Liman 4, 1300 kaplara",175000,3.0,halooglasi,2333,Trosoban stan Liman 4 75m2 175.000e vlasnik,Novi Sad,45.2353358,19.8277377
70,Novi Sad,1," Opština Novi Sad, Železnička stanica",144200,3.0,halooglasi,2060,Trosoban stan kod Železničke stanice,Novi Sad,45.2647343,19.8294979
26,Novi Sad,1,"Nova Detelinara, Detelinara, Gradske lokacije",70000,0.5,4zida,2692,Čika Stevina,Novi Sad,45.263437,19.8116547
75,Novi Sad,6," Opština Novi Sad, Nova Detelinara, Janka Čmelika",157500,3.0,halooglasi,2100,Extra trosoban stan u novogradnji  Nova Detelinara,Novi Sad,45.2635356,19.8093679
37,Novi Sad,0," Opština Novi Sad, Futog",72100,1.5,halooglasi,1949,Jednoiposoban stan u Futogu,Novi Sad,45.2373534,19.7064376
98,Novi Sad,0," Opština Novi Sad, Novo Naselje, Bulevar vojvode Stepe",190000,4.0,halooglasi,1946,Porodičan stan u Novom Sadu - Bistrica,Novi Sad,45.257434,19.8007507
43,Novi Sad,p," Opština Novi Sad, Kej, Beogradski kej",104000,2.0,halooglasi,2419,"Beogradski kej 15,  pogled na Tvrdjavu - 43m2",Novi Sad,45.25763,19.854882
47,Novi Sad,1," Opština Novi Sad, Cara Dušana, ",103000,2.0,halooglasi,2191,"Novi Sad, Cara DuŠana, Stan, 2.0, 47m2",Novi Sad,45.2488293,19.8247413
39,Novi Sad,3," Opština Novi Sad, Nova Detelinara, Koste Racina",97850,1.5,halooglasi,2509,Odličan jednoiposoban stan,Novi Sad,45.2584617,19.8127746
24,Novi Sad,1," Opština Novi Sad, Nova Detelinara, Hadži Ruvimova",74160,1.0,halooglasi,3090,"Jednosoban,odličan kvalitet,uknjižen,top ponuda",Novi Sad,45.2571212,19.8157067
142,Novi Sad,1,"Adamovićevo Naselje, Gradske lokacije",55000,5.0,4zida,1897,Vila Mila,Novi Sad,45.2452352,19.8220299
84,Novi Sad,4," Opština Novi Sad, Novo Naselje, Seljačkih buna",123600,3.0,halooglasi,1471,Komforan trosoban stan na Novom Naselju,Novi Sad,45.2555215,19.7998191
86,Novi Sad,p," Opština Novi Sad, Veternička rampa, ",204000,4.0,halooglasi,2378,Prodaje se četvorosoban stan sa podrumom i parking,Novi Sad,45.2476514,19.7777942
36,Novi Sad,2," Opština Novi Sad, Telep južni, Jerneja Kopitara",97000,1.5,halooglasi,2694,"Jednoiposoban stan na Telepu, kompletno namešten",Novi Sad,45.235034,19.8216196
71,Novi Sad,0.5," Opština Novi Sad, Centar, Svetozara Miletića",350000,2.5,halooglasi,4930,"Prodaja, 2.5 sobam stan, 71m2, Centar, Novi Sad",Novi Sad,45.2580145,19.8420949
78,Novi Sad,6," Opština Novi Sad, Liman 3, Šekspirova",169950,4.0,halooglasi,2179,"Novi Sad, Liman III - Uknjižen četvorosoban stan I",Novi Sad,45.2381917,19.8390139
52,Novi Sad,1," Opština Novi Sad, Grbavica, Braće Ribnikar",158620,2.0,halooglasi,3050,"Prodaja, 2.0 soba stan, 52m2, Grbavica, Novi Sad",Novi Sad,45.2495165,19.8327564
56,Novi Sad,2," Opština Novi Sad, Šarengrad",105000,2.0,halooglasi,1875,"Dvosoban stan, Novo Naselje, Šarengrad, RENOVIRAN",Novi Sad,45.2512335,19.7907039
46,Novi Sad,0," Opština Novi Sad, Centar, Petra Drapšina",93000,2.0,halooglasi,2022,Dvosoban stan u ulici Petra Drapšina u Novom Sadu,Novi Sad,45.2517424,19.8408749
41,Novi Sad,0.5," Opština Novi Sad, Rotkvarija, ",91700,1.5,halooglasi,2237,"Jednosiposoban stan, fantastična lokacija ID#6310",Novi Sad,45.2574509,19.8369974
73,Novi Sad,2," Opština Novi Sad, Grbavica, Vojvođanska",168714,2.0,halooglasi,2311,"Novi Sad, Grbavica - Uknjižen dvosoban stan ID#100",Novi Sad,45.2439447,19.8370441
74,Novi Sad,3," Opština Novi Sad, Liman 4, Narodnog fronta",247200,3.0,halooglasi,3341,"Novi Sad, Liman IV - Uknjižen trosoban stan ID#100",Novi Sad,45.2378078,19.8293047
54,Novi Sad,3," Opština Novi Sad, Podbara, Patrijarha Čarnojevića",97850,1.5,halooglasi,1812,"Novi Sad, Podbara - Jednoiposoban stan ID#1000695",Novi Sad,45.2670399,19.8453745
80,Novi Sad,p," Petrovaradin, Alibegovac",152500,4.0,halooglasi,1906,"Prodaja,4.0 soban stan,80m2,Alibegovac,Novi Sad",Novi Sad,45.2175683,19.8714983
43,Novi Sad,8," Opština Novi Sad, Liman, Podgorička",123600,2.0,halooglasi,2874,Odličan dvosoban stan na Limanu,Novi Sad,45.242214,19.8402239
99,Novi Sad,3," Opština Novi Sad, Nova Detelinara, Ilije Birčanina",249000,3.0,halooglasi,2515,Stan i dve garaze u Novom Sadu,Novi Sad,45.259113,19.8160307
68,Novi Sad,p," Opština Novi Sad, Podbara, Đorđa Rajkovića",121500,3.5,halooglasi,1787,"Novi Sad, Podbara - Uknjižen troiposoban dupleks I",Novi Sad,45.2646179,19.8490167
48,Novi Sad,5," Opština Novi Sad, Liman 1, ",133900,2.0,halooglasi,2790,"Novi Sad, Liman 1, Stan, 2, 48,00m2",Novi Sad,45.2432613,19.8512788
107,Novi Sad,p," Opština Novi Sad, Telep, Somborska",209400,3.0,halooglasi,1957,"Novi Sad, Telep - Uknjižen, namešten trosoban stan",Novi Sad,45.2423713,19.7934707
116,Novi Sad,p," Opština Novi Sad, Grbavica, Danila Kiša",206000,4.0,halooglasi,1776,Grbavica - 116m2 - top lokacija,Novi Sad,45.2466688,19.835856
46,Novi Sad,p," Opština Novi Sad, Adice, Ratarska",92000,2.0,halooglasi,2000,Lux kompletno namesten stan,Novi Sad,45.2305376,19.7790571
132,Novi Sad,2," Opština Novi Sad, Centar, Ilije Vučetića",353500,4.0,halooglasi,2678,"Novi Sad, Centar - Uknjižen četvorosoban salonski",Novi Sad,45.2533767,19.8512747
53,Novi Sad,1," Petrovaradin, Popovica, ",149300,2.5,halooglasi,2817,Dvoiposoban stan luksuznom kompleksu sa bazenima.,Novi Sad,45.2134321,19.8688167
78,Novi Sad,1," Opština Novi Sad, Liman 2, Dr Ivana Ribara",185400,3.0,halooglasi,2377,"Novi Sad, Liman II - Uknjižen trosoban stan ID#100",Novi Sad,45.2429965,19.8432643
80,Novi Sad,p," Opština Novi Sad, Stari grad, Laze Telečkog",195700,3.0,halooglasi,2446,Salonac u centru grada,Novi Sad,45.2566182,19.8456423
64,Novi Sad,0," Opština Novi Sad, Adice, Desanke Maksimović",123600,4.0,halooglasi,1931,Prelep četvorosoban stan,Novi Sad,45.2323224,19.7995971
52,Novi Sad,4," Opština Novi Sad, Futoška, Ćirpanova",137000,2.5,halooglasi,2635,"Novi Sad, Futoška, Ćirpanova, 2.5, 52m2",Novi Sad,45.2490802,19.828952
48,Novi Sad,2," Opština Novi Sad, Satelit, Antuna Urbana",78000,2.0,halooglasi,1625,Dvosoban stan na Futoskom putu,Novi Sad,45.246624,19.7972527
40,Novi Sad,3," Opština Novi Sad, Centar, Trg republike",108000,1.5,halooglasi,2700,Jednoiposobni stan 40m2 (37+3),Novi Sad,45.2576587,19.8493083
45,Novi Sad,2," Opština Novi Sad, Novo Naselje, Stanoja Stanojevića",118450,3.0,halooglasi,2632,Odličan trosoban stan u novogradnji ne useljavan,Novi Sad,45.2502952,19.7878586
50,Novi Sad,p," Opština Novi Sad, Novo Naselje, Momčila Tapavice",80000,2.0,halooglasi,1600,Novo Naselje - dvosoban,Novi Sad,45.2491937,19.7888603
56,Novi Sad,3," Opština Novi Sad, Novo Naselje, Braće Dronjak",126000,2.5,halooglasi,2250,"Tražena lokacija, odličan raspored",Novi Sad,45.2513629,19.7991054
45,Novi Sad,0.5," Opština Novi Sad, Telep, Kiš Ernea",104560,2.5,halooglasi,2324,Odličan dvoiposoban stan na Telepu,Novi Sad,45.2441496,19.8043029
46,Novi Sad,3," Opština Novi Sad, Satelit, Futoški put",84460,2.0,halooglasi,1836,Dvosoban Satelit!,Novi Sad,45.2434043,19.7911504
131,Novi Sad,p," Opština Novi Sad, Veternička rampa, Novosadski put",202500,4.0,halooglasi,1546,"Nov,extra kvalitet,top ponuda",Novi Sad,45.2434484,19.7845928
81,Novi Sad,1," Opština Novi Sad, Liman 2, Fruškogorska",178000,3.0,halooglasi,2198,Novi Sad 81m2 T,Novi Sad,45.2424874,19.8469479
